Index;year_date_naissance;sexe;Revenus K;Enfant ?;Conduite accompagnée ?;usage_vehicule;type_vehicule;Rouge ?;points_perdus;age_vehicule;type_conduite;mm_yy_date_demande;formule;Tarif
482;1956;F;-25K;VRAI;FAUX;Private;Van;VRAI;6;1; Urban;01/05/2022;express;200-299
483;1999;F;50K-75K;VRAI;FAUX;Private;SUV;FAUX;0;; Urban;01/03/2022;express;200-299
484;1971;F;50K-75K;VRAI;VRAI;Private;Minivan;FAUX;3;7; Urban;01/05/2022;premium;400-499
485;1952;F;100K-125K;FAUX;FAUX;Private;Sports Car;FAUX;1;10; Urban;01/03/2022;integral;300-399
486;2019;F;-25K;FAUX;FAUX;Private;Minivan;FAUX;0;1; Rural;01/05/2022;integral;200-299
487;2001;F;25K-50K;VRAI;VRAI;Private;Sports Car;FAUX;1;1; Urban;01/04/2022;integral;200-299
488;1963;M;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;0;1; Rural;01/05/2022;premium;300-399
489;2015;M;25K-50K;VRAI;FAUX;Private;Sports Car;FAUX;5;10; Urban;01/02/2022;express;200-299
490;1995;M;25K-50K;VRAI;FAUX;Commercial;Minivan;FAUX;0;8; Urban;01/05/2022;express;200-299
491;1965;F;50K-75K;VRAI;VRAI;Private;SUV;FAUX;1;10; Urban;01/05/2022;express;200-299
492;1949;M;50K-75K;VRAI;FAUX;Private;SUV;FAUX;2;6; Urban;01/05/2022;express;200-299
493;1948;F;-25K;FAUX;FAUX;Commercial;Pickup;VRAI;2;11; Rural;01/03/2022;integral;200-299
494;1973;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;4;1; Urban;01/02/2022;integral;300-399
495;2015;F;100K-125K;FAUX;FAUX;Commercial;Panel Truck;VRAI;4;8; Urban;01/05/2022;premium;500-599
496;2002;F;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;3;; Rural;01/05/2022;premium;300-399
497;1951;F;75K-100K;FAUX;FAUX;Commercial;Van;VRAI;1;13; Urban;01/01/2022;integral;200-299
498;2010;M;-25K;VRAI;VRAI;Commercial;Pickup;VRAI;1;1; Urban;01/01/2022;integral;300-399
499;1974;M;175K-200K;FAUX;FAUX;Private;Pickup;FAUX;0;19; Urban;01/03/2022;integral;300-399
500;1931;M;-25K;FAUX;FAUX;Private;SUV;FAUX;1;9; Rural;01/03/2022;integral;300-399
501;2004;M;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;0;; Urban;01/05/2022;express;200-299
502;1963;F;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Urban;01/03/2022;express;200-299
503;1948;F;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;0;10; Rural;01/05/2022;premium;500-599
504;2017;F;125K-150K;FAUX;FAUX;Private;SUV;FAUX;0;7; Urban;01/05/2022;integral;300-399
505;1965;F;25K-50K;VRAI;FAUX;Commercial;Pickup;FAUX;0;1; Urban;01/05/2022;express;200-299
506;1937;F;100K-125K;FAUX;FAUX;Commercial;Van;FAUX;2;12; Urban;01/05/2022;express;200-299
507;1970;F;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;1;1; Rural;01/05/2022;integral;300-399
508;1971;M;-25K;FAUX;FAUX;Commercial;Minivan;VRAI;0;8; Urban;01/03/2022;integral;200-299
509;1978;F;125K-150K;FAUX;FAUX;Commercial;Van;VRAI;3;10; Urban;01/03/2022;premium;400-499
510;1971;F;125K-150K;FAUX;FAUX;Private;Minivan;FAUX;0;13; Urban;01/03/2022;express;200-299
511;1964;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/01/2022;express;200-299
512;1961;M;-25K;VRAI;FAUX;Commercial;SUV;FAUX;2;1; Urban;01/01/2022;express;200-299
513;2005;F;-25K;FAUX;FAUX;Commercial;Minivan;VRAI;1;17; Urban;01/04/2022;integral;200-299
514;1966;M;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;0;7; Rural;01/05/2022;premium;300-399
515;1967;M;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;21; Urban;01/04/2022;express;200-299
516;1968;M;125K-150K;VRAI;FAUX;Private;Minivan;VRAI;0;8; Urban;01/03/2022;integral;300-399
517;1962;F;75K-100K;VRAI;FAUX;Commercial;Minivan;FAUX;7;1; Urban;01/03/2022;integral;200-299
518;1989;F;100K-125K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;11; Urban;01/03/2022;express;200-299
519;1994;M;;FAUX;FAUX;Private;Minivan;VRAI;0;22; Urban;01/02/2022;integral;300-399
520;1940;F;125K-150K;FAUX;FAUX;Commercial;SUV;FAUX;4;10; Urban;01/04/2022;premium;500-599
521;1954;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;; Urban;01/02/2022;integral;300-399
522;1955;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;2;8; Urban;01/02/2022;integral;200-299
523;2019;M;-25K;VRAI;VRAI;Commercial;Minivan;FAUX;0;4; Rural;01/04/2022;integral;300-399
524;2007;M;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;3;; Urban;01/05/2022;express;200-299
525;1943;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;5;7; Urban;01/04/2022;express;200-299
526;1964;F;-25K;FAUX;FAUX;Private;Minivan;VRAI;0;1; Urban;01/05/2022;premium;300-399
527;1991;M;;FAUX;FAUX;Commercial;Pickup;FAUX;0;1; Urban;01/02/2022;express;200-299
528;1963;F;25K-50K;VRAI;VRAI;Private;SUV;FAUX;9;6; Urban;01/05/2022;integral;300-399
529;1939;M;75K-100K;VRAI;FAUX;Commercial;Pickup;FAUX;0;4; Rural;01/02/2022;integral;300-399
530;1941;M;50K-75K;VRAI;FAUX;Private;Sports Car;FAUX;0;; Urban;01/05/2022;express;200-299
531;1946;F;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;9; Urban;01/05/2022;express;200-299
532;1969;M;25K-50K;VRAI;FAUX;Commercial;Panel Truck;VRAI;4;1; Urban;01/03/2022;express;200-299
533;1971;M;50K-75K;VRAI;VRAI;Commercial;Pickup;VRAI;2;8; Rural;01/03/2022;express;200-299
534;1934;M;;FAUX;FAUX;Commercial;Pickup;VRAI;3;1; Urban;01/03/2022;express;200-299
535;1952;M;25K-50K;VRAI;FAUX;Commercial;Pickup;VRAI;2;13; Rural;01/05/2022;premium;300-399
536;1977;M;;VRAI;FAUX;Private;Pickup;VRAI;3;9; Urban;01/04/2022;express;200-299
537;1965;F;50K-75K;FAUX;FAUX;Commercial;SUV;FAUX;1;1; Urban;01/01/2022;express;200-299
538;1957;F;;VRAI;FAUX;Private;Minivan;VRAI;2;; Rural;01/01/2022;express;200-299
539;1987;F;-25K;VRAI;FAUX;Private;Sports Car;FAUX;2;8; Rural;01/01/2022;integral;200-299
540;1974;F;-25K;FAUX;FAUX;Private;Pickup;VRAI;1;1; Urban;01/05/2022;express;200-299
541;2018;M;125K-150K;FAUX;FAUX;Private;Pickup;FAUX;2;15; Urban;01/05/2022;integral;300-399
542;2019;F;75K-100K;VRAI;VRAI;Private;Sports Car;FAUX;7;18; Urban;01/03/2022;express;200-299
543;1935;M;50K-75K;FAUX;FAUX;Private;Minivan;FAUX;2;12; Urban;01/02/2022;express;200-299
544;1937;M;25K-50K;FAUX;FAUX;Private;Minivan;VRAI;0;17; Rural;01/03/2022;integral;300-399
545;1967;F;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;0;1; Urban;01/02/2022;integral;300-399
546;1940;F;75K-100K;VRAI;VRAI;Commercial;Panel Truck;VRAI;0;14; Rural;01/05/2022;integral;300-399
547;1965;M;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;2;9; Urban;01/02/2022;integral;200-299
548;1996;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;3;7; Urban;01/04/2022;express;200-299
549;1955;F;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;0;9; Urban;01/01/2022;integral;200-299
550;1951;M;175K-200K;FAUX;FAUX;Private;SUV;FAUX;3;12; Urban;01/01/2022;integral;200-299
551;1994;F;25K-50K;VRAI;FAUX;Private;Pickup;VRAI;2;11; Rural;01/02/2022;premium;400-499
552;1986;M;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;18; Urban;01/03/2022;integral;300-399
553;1952;M;;FAUX;FAUX;Private;Sports Car;FAUX;0;20; Urban;01/04/2022;integral;300-399
554;1938;M;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;4;9; Urban;01/03/2022;integral;300-399
555;1978;M;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;0;5; Urban;01/01/2022;integral;300-399
556;1932;M;25K-50K;VRAI;VRAI;Commercial;Pickup;FAUX;1;7; Urban;01/03/2022;express;200-299
557;2008;M;;FAUX;FAUX;Private;Minivan;FAUX;0;1; Rural;01/04/2022;express;200-299
558;2019;M;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;0;; Urban;01/04/2022;integral;300-399
559;1958;F;-25K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;; Urban;01/05/2022;integral;300-399
560;1934;M;-25K;FAUX;FAUX;Private;Pickup;VRAI;4;1; Urban;01/04/2022;integral;300-399
561;2022;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;0;19; Urban;01/03/2022;express;200-299
562;2006;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;0;10; Urban;01/04/2022;integral;300-399
563;1989;M;25K-50K;FAUX;FAUX;Commercial;Van;VRAI;3;18; Urban;01/03/2022;integral;300-399
564;1972;M;-25K;VRAI;FAUX;Private;Minivan;FAUX;1;10; Urban;01/05/2022;express;200-299
565;2000;F;-25K;VRAI;FAUX;Private;Van;FAUX;0;1; Urban;01/01/2022;integral;200-299
566;1998;M;75K-100K;VRAI;VRAI;Private;SUV;FAUX;4;16; Urban;01/05/2022;express;200-299
567;1967;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;9; Urban;01/05/2022;express;200-299
568;2010;M;-25K;VRAI;VRAI;Private;Pickup;FAUX;1;7; Urban;01/02/2022;integral;300-399
569;1938;F;175K-200K;FAUX;FAUX;Private;Pickup;FAUX;0;15; Urban;01/03/2022;integral;200-299
570;1993;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;4;13; Urban;01/05/2022;express;200-299
571;1962;F;150K-175K;FAUX;FAUX;Private;Minivan;FAUX;0;14; Urban;01/03/2022;premium;300-399
572;2002;F;75K-100K;VRAI;FAUX;Commercial;Panel Truck;VRAI;0;24; Urban;01/04/2022;premium;500-599
573;1957;F;-25K;FAUX;FAUX;Commercial;Pickup;FAUX;3;10; Urban;01/01/2022;express;200-299
574;1951;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;4;13; Urban;01/03/2022;express;200-299
575;2016;F;-25K;FAUX;FAUX;Private;Pickup;VRAI;0;17; Rural;01/05/2022;express;200-299
576;1939;M;75K-100K;VRAI;FAUX;Commercial;Van;VRAI;4;8; Urban;01/05/2022;integral;200-299
577;1960;F;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;0;15; Urban;01/05/2022;integral;200-299
578;2007;M;-25K;FAUX;FAUX;Commercial;Minivan;FAUX;1;10; Urban;01/05/2022;express;200-299
579;1967;M;-25K;FAUX;FAUX;Private;Minivan;VRAI;3;1; Urban;01/04/2022;integral;300-399
580;1978;M;75K-100K;FAUX;FAUX;Private;SUV;FAUX;8;1; Urban;01/05/2022;integral;300-399
581;1969;M;25K-50K;VRAI;FAUX;Private;Minivan;VRAI;2;1; Urban;01/04/2022;premium;300-399
582;1974;M;-25K;VRAI;FAUX;Commercial;Panel Truck;VRAI;0;10; Urban;01/01/2022;express;200-299
583;1969;M;50K-75K;VRAI;FAUX;Private;Minivan;VRAI;1;13; Urban;01/04/2022;express;200-299
584;1935;M;-25K;FAUX;FAUX;Private;Minivan;VRAI;0;7; Rural;01/02/2022;integral;300-399
585;1986;F;75K-100K;FAUX;FAUX;Commercial;Minivan;FAUX;0;; Urban;01/01/2022;integral;300-399
586;1936;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;2;1; Urban;01/01/2022;integral;300-399
587;1932;M;50K-75K;VRAI;VRAI;Private;SUV;FAUX;1;5; Urban;01/05/2022;premium;400-499
588;1936;M;;VRAI;FAUX;Private;SUV;FAUX;0;10; Rural;01/03/2022;premium;400-499
589;1961;M;-25K;FAUX;FAUX;Private;SUV;FAUX;5;3; Urban;01/02/2022;integral;200-299
590;1987;M;;VRAI;VRAI;Private;SUV;FAUX;0;1; Rural;01/04/2022;express;200-299
591;1945;F;25K-50K;FAUX;FAUX;Private;Pickup;VRAI;0;1; Urban;01/04/2022;express;200-299
592;1974;F;125K-150K;FAUX;FAUX;Commercial;Panel Truck;VRAI;5;10; Urban;01/05/2022;integral;300-399
593;2018;M;100K-125K;FAUX;FAUX;Private;Van;VRAI;6;; Urban;01/01/2022;express;200-299
594;2020;M;75K-100K;VRAI;FAUX;Private;SUV;FAUX;0;14; Urban;01/04/2022;integral;300-399
595;1941;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;0;6; Urban;01/04/2022;integral;300-399
596;1938;M;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;1;19; Urban;01/01/2022;express;200-299
597;1982;M;-25K;FAUX;FAUX;Private;Minivan;VRAI;2;6; Rural;01/02/2022;integral;300-399
598;1935;M;175K-200K;FAUX;FAUX;Private;Minivan;VRAI;2;14; Urban;01/03/2022;integral;200-299
599;1960;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;2;20; Rural;01/02/2022;premium;400-499
600;1993;F;75K-100K;VRAI;FAUX;Commercial;Pickup;VRAI;7;7; Urban;01/02/2022;integral;200-299
601;1966;M;;VRAI;VRAI;Commercial;Pickup;VRAI;2;1; Rural;01/03/2022;premium;300-399
602;1965;M;75K-100K;VRAI;VRAI;Commercial;SUV;FAUX;1;13; Urban;01/01/2022;express;200-299
603;1963;F;-25K;VRAI;VRAI;Private;Minivan;FAUX;0;13; Urban;01/03/2022;integral;300-399
604;1959;M;250K-275K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;6; Urban;01/05/2022;express;200-299
605;2013;F;75K-100K;FAUX;FAUX;Commercial;SUV;FAUX;3;1; Urban;01/01/2022;premium;400-499
606;1992;M;;FAUX;FAUX;Private;Sports Car;FAUX;0;7; Rural;01/05/2022;premium;400-499
607;1966;F;50K-75K;VRAI;FAUX;Private;Minivan;VRAI;1;15; Urban;01/02/2022;integral;300-399
608;1970;M;50K-75K;FAUX;FAUX;Commercial;Van;VRAI;0;13; Urban;01/04/2022;premium;400-499
609;1954;M;50K-75K;FAUX;FAUX;Commercial;Minivan;FAUX;2;7; Urban;01/02/2022;integral;200-299
610;2019;F;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;0;7; Rural;01/05/2022;express;200-299
611;1959;M;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;7; Urban;01/03/2022;integral;300-399
612;2000;M;125K-150K;VRAI;FAUX;Private;Minivan;VRAI;0;16; Urban;01/02/2022;integral;300-399
613;1987;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;15; Rural;01/01/2022;premium;300-399
614;2017;M;25K-50K;FAUX;FAUX;Commercial;Minivan;FAUX;0;7; Urban;01/02/2022;premium;400-499
615;2008;M;150K-175K;FAUX;FAUX;Private;Van;VRAI;0;18; Urban;01/04/2022;integral;300-399
616;1951;F;150K-175K;FAUX;FAUX;Private;Sports Car;FAUX;4;21; Urban;01/03/2022;express;200-299
617;2010;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;1;13; Rural;01/01/2022;integral;300-399
618;1968;M;25K-50K;VRAI;VRAI;Private;Sports Car;FAUX;0;11; Urban;01/03/2022;integral;300-399
619;2017;F;25K-50K;FAUX;FAUX;Commercial;Sports Car;FAUX;2;; Urban;01/02/2022;integral;200-299
620;1994;F;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;2;; Rural;01/04/2022;express;200-299
621;1954;M;;VRAI;FAUX;Private;Minivan;VRAI;3;5; Urban;01/05/2022;integral;300-399
622;2005;F;175K-200K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;17; Rural;01/01/2022;express;200-299
623;2005;M;75K-100K;FAUX;FAUX;Private;Sports Car;FAUX;3;14; Urban;01/03/2022;express;200-299
624;2003;M;100K-125K;FAUX;FAUX;Private;Pickup;FAUX;0;10; Urban;01/05/2022;integral;200-299
625;2004;M;50K-75K;FAUX;FAUX;Commercial;Sports Car;FAUX;1;11; Urban;01/04/2022;integral;300-399
626;2005;M;25K-50K;FAUX;FAUX;Private;Van;FAUX;0;18; Urban;01/04/2022;integral;300-399
627;2008;M;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;3;1; Rural;01/02/2022;premium;500-599
628;1960;F;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;2;11; Urban;01/04/2022;express;200-299
629;2012;M;200K-225K;FAUX;FAUX;Private;Minivan;FAUX;0;13; Urban;01/04/2022;express;200-299
630;1985;M;75K-100K;FAUX;FAUX;Commercial;Minivan;VRAI;0;9; Urban;01/04/2022;premium;400-499
631;1977;M;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;4;1; Urban;01/04/2022;integral;200-299
632;2004;M;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;0;8; Urban;01/03/2022;integral;300-399
633;2020;M;125K-150K;FAUX;FAUX;Private;Minivan;VRAI;1;15; Urban;01/03/2022;integral;300-399
634;1931;F;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;2;8; Urban;01/04/2022;integral;200-299
635;2007;F;75K-100K;VRAI;FAUX;Commercial;Van;FAUX;1;7; Urban;01/03/2022;express;200-299
636;2003;F;50K-75K;VRAI;VRAI;Commercial;Pickup;FAUX;4;10; Urban;01/02/2022;integral;300-399
637;1997;F;75K-100K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;; Rural;01/02/2022;integral;300-399
638;1957;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;0;1; Rural;01/02/2022;integral;200-299
639;1950;F;50K-75K;VRAI;FAUX;Commercial;Pickup;FAUX;2;1; Urban;01/03/2022;express;200-299
640;1940;F;25K-50K;FAUX;FAUX;Commercial;Pickup;FAUX;1;1; Urban;01/04/2022;premium;300-399
641;1956;M;-25K;VRAI;VRAI;Private;Sports Car;FAUX;4;1; Urban;01/02/2022;premium;400-499
642;2008;F;-25K;FAUX;FAUX;Private;Minivan;VRAI;0;7; Urban;01/03/2022;integral;300-399
643;1993;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;0;1; Rural;01/01/2022;integral;200-299
644;1967;M;-25K;VRAI;VRAI;Private;Minivan;VRAI;2;7; Rural;01/05/2022;integral;300-399
645;1976;F;150K-175K;FAUX;FAUX;Private;Minivan;FAUX;6;17; Urban;01/04/2022;premium;300-399
646;2004;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/02/2022;integral;300-399
647;1951;M;125K-150K;VRAI;FAUX;Private;Minivan;FAUX;0;25; Urban;01/03/2022;express;200-299
648;1966;M;75K-100K;FAUX;FAUX;Commercial;Minivan;FAUX;1;9; Rural;01/05/2022;integral;300-399
649;1996;M;175K-200K;FAUX;FAUX;Commercial;Pickup;FAUX;0;16; Urban;01/02/2022;integral;300-399
650;1994;F;75K-100K;VRAI;FAUX;Private;Sports Car;FAUX;0;; Urban;01/03/2022;integral;300-399
651;1960;M;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;1;8; Rural;01/02/2022;premium;300-399
652;1964;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/01/2022;integral;300-399
653;1956;M;25K-50K;VRAI;FAUX;Commercial;Minivan;FAUX;6;1; Urban;01/01/2022;integral;200-299
654;1982;F;275K-300K;VRAI;VRAI;Commercial;Panel Truck;FAUX;0;18; Urban;01/01/2022;vip;800-899
655;1968;M;50K-75K;VRAI;FAUX;Commercial;SUV;FAUX;0;1; Urban;01/03/2022;integral;300-399
656;1947;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;1; Rural;01/01/2022;integral;300-399
657;1969;M;25K-50K;VRAI;VRAI;Commercial;Van;VRAI;1;1; Urban;01/05/2022;integral;200-299
658;1953;F;;VRAI;VRAI;Private;SUV;FAUX;2;6; Rural;01/01/2022;integral;300-399
659;1951;F;125K-150K;FAUX;FAUX;Private;Minivan;VRAI;1;11; Urban;01/01/2022;integral;300-399
660;1945;F;-25K;FAUX;FAUX;Commercial;Pickup;FAUX;1;4; Urban;01/04/2022;premium;300-399
661;1997;F;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;4;14; Rural;01/03/2022;integral;300-399
662;1949;M;-25K;FAUX;FAUX;Private;Van;FAUX;2;22; Rural;01/05/2022;vip;900-999
663;1971;M;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;5;16; Urban;01/02/2022;premium;500-599
664;1979;M;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;0;6; Urban;01/03/2022;integral;300-399
665;1980;M;100K-125K;VRAI;VRAI;Commercial;Pickup;VRAI;4;18; Urban;01/04/2022;integral;300-399
666;1947;M;-25K;VRAI;VRAI;Private;SUV;FAUX;0;1; Urban;01/01/2022;premium;500-599
667;2017;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;0;12; Urban;01/03/2022;integral;300-399
668;1972;F;25K-50K;FAUX;FAUX;Commercial;Minivan;FAUX;4;13; Urban;01/04/2022;integral;300-399
669;2014;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;2;1; Urban;01/01/2022;integral;300-399
670;2001;M;100K-125K;VRAI;VRAI;Private;SUV;FAUX;4;15; Urban;01/04/2022;integral;300-399
671;2003;F;-25K;VRAI;FAUX;Commercial;SUV;FAUX;3;8; Rural;01/05/2022;express;200-299
672;1986;M;-25K;VRAI;FAUX;Private;SUV;FAUX;1;1; Rural;01/02/2022;integral;200-299
673;1956;M;50K-75K;VRAI;FAUX;Private;Pickup;FAUX;1;1; Rural;01/04/2022;express;200-299
674;1979;F;50K-75K;FAUX;FAUX;Commercial;Pickup;FAUX;1;6; Urban;01/02/2022;integral;200-299
675;1943;M;-25K;FAUX;FAUX;Commercial;Minivan;VRAI;0;1; Rural;01/01/2022;express;200-299
676;1938;M;75K-100K;VRAI;FAUX;Commercial;Pickup;FAUX;4;16; Urban;01/03/2022;integral;300-399
677;1959;F;50K-75K;VRAI;FAUX;Commercial;SUV;FAUX;5;11; Urban;01/05/2022;integral;200-299
678;1991;F;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;5;15; Urban;01/01/2022;integral;200-299
679;1953;M;50K-75K;VRAI;VRAI;Commercial;SUV;FAUX;3;1; Urban;01/03/2022;integral;200-299
680;1998;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;0;1; Rural;01/03/2022;integral;300-399
681;2013;F;25K-50K;VRAI;VRAI;Commercial;Van;FAUX;1;5; Urban;01/01/2022;express;200-299
682;2002;M;125K-150K;FAUX;FAUX;Commercial;Van;VRAI;0;5; Urban;01/05/2022;premium;300-399
683;1953;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;0;8; Rural;01/01/2022;express;200-299
684;1955;F;25K-50K;FAUX;FAUX;Private;Minivan;VRAI;1;1; Urban;01/01/2022;premium;400-499
685;1988;F;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;1;6; Urban;01/04/2022;integral;300-399
686;2019;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;11; Urban;01/03/2022;express;200-299
687;1957;M;100K-125K;FAUX;FAUX;Private;Minivan;VRAI;0;1; Urban;01/03/2022;express;200-299
688;1959;M;75K-100K;FAUX;FAUX;Commercial;Van;VRAI;2;8; Rural;01/02/2022;integral;300-399
689;1945;M;50K-75K;FAUX;FAUX;Commercial;Minivan;FAUX;0;3; Urban;01/03/2022;express;200-299
690;1995;F;-25K;VRAI;FAUX;Commercial;Pickup;VRAI;0;5; Urban;01/01/2022;premium;400-499
691;1977;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Urban;01/04/2022;premium;400-499
692;1943;M;-25K;FAUX;FAUX;Private;Minivan;FAUX;0;20; Urban;01/05/2022;integral;300-399
693;2018;F;50K-75K;FAUX;FAUX;Commercial;Pickup;VRAI;4;8; Urban;01/03/2022;premium;400-499
694;1982;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;1;8; Urban;01/05/2022;express;200-299
695;1973;F;25K-50K;FAUX;FAUX;Private;Pickup;VRAI;2;1; Urban;01/05/2022;express;200-299
696;2016;M;-25K;FAUX;FAUX;Private;Minivan;FAUX;2;12; Urban;01/05/2022;express;200-299
697;1972;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;0;11; Urban;01/04/2022;express;200-299
698;1989;M;125K-150K;FAUX;FAUX;Private;Minivan;FAUX;1;10; Rural;01/05/2022;express;200-299
699;1973;M;50K-75K;VRAI;FAUX;Private;SUV;FAUX;1;12; Urban;01/02/2022;integral;200-299
700;1963;F;-25K;VRAI;FAUX;Private;Minivan;FAUX;6;1; Rural;01/03/2022;express;200-299
701;1963;M;25K-50K;VRAI;VRAI;Private;SUV;FAUX;0;5; Rural;01/05/2022;integral;300-399
702;1982;F;50K-75K;FAUX;FAUX;Commercial;Minivan;VRAI;0;9; Rural;01/02/2022;integral;300-399
703;1945;M;25K-50K;FAUX;FAUX;Commercial;Panel Truck;FAUX;5;5; Urban;01/01/2022;vip;600-699
704;1967;F;-25K;FAUX;FAUX;Private;Minivan;FAUX;3;7; Urban;01/05/2022;premium;500-599
705;1958;M;25K-50K;VRAI;FAUX;Private;SUV;FAUX;0;5; Urban;01/02/2022;express;200-299
706;2018;F;;FAUX;FAUX;Commercial;Pickup;VRAI;6;3; Urban;01/01/2022;express;200-299
707;1953;F;50K-75K;FAUX;FAUX;Commercial;Minivan;FAUX;1;1; Rural;01/03/2022;express;200-299
708;2002;F;50K-75K;VRAI;VRAI;Private;Van;VRAI;1;; Urban;01/05/2022;express;200-299
709;2011;F;-25K;FAUX;FAUX;Private;Minivan;VRAI;0;1; Urban;01/05/2022;express;200-299
710;1972;F;25K-50K;FAUX;FAUX;Commercial;Van;VRAI;3;21; Urban;01/05/2022;integral;300-399
711;1953;M;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;0;1; Urban;01/04/2022;premium;400-499
712;2007;F;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;0;10; Urban;01/03/2022;express;200-299
713;1954;M;;FAUX;FAUX;Commercial;Panel Truck;VRAI;1;; Urban;01/02/2022;integral;200-299
714;1939;F;-25K;VRAI;VRAI;Commercial;SUV;FAUX;0;7; Urban;01/03/2022;premium;400-499
715;1955;F;125K-150K;FAUX;FAUX;Private;Van;FAUX;0;1; Urban;01/01/2022;express;200-299
716;1943;M;;VRAI;VRAI;Commercial;Sports Car;FAUX;2;1; Urban;01/02/2022;integral;300-399
717;2017;M;75K-100K;FAUX;FAUX;Private;Pickup;FAUX;0;17; Urban;01/01/2022;premium;400-499
718;2000;M;50K-75K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;9; Urban;01/02/2022;integral;300-399
719;2001;F;75K-100K;VRAI;FAUX;Private;SUV;FAUX;0;15; Urban;01/03/2022;integral;300-399
720;1994;M;100K-125K;FAUX;FAUX;Private;Sports Car;FAUX;0;11; Urban;01/04/2022;integral;200-299
721;1964;M;-25K;FAUX;FAUX;Private;SUV;FAUX;0;9; Rural;01/03/2022;express;200-299
722;1950;M;-25K;VRAI;FAUX;Private;SUV;FAUX;0;5; Urban;01/05/2022;express;200-299
723;1970;M;;VRAI;FAUX;Private;Minivan;VRAI;2;1; Urban;01/03/2022;express;200-299
